LGA,Region,Sector,Contractor_ID,Contractor_Completed,Contractor_Abandoned,Contractor_Score,Amount,Duration_Days,Project_Status
Nsukka,North East,Health,C009,5,1,0.67,75123.93,188,Delayed
Nsukka,South South,Education,C005,2,1,0.33,26282.83,167,On Time
Jos North,South West,Education,C016,8,0,0.89,69984.35,185,On Time
Abeokuta,South South,Electricity,C015,8,0,0.89,38537.72,118,On Time
Sokoto North,North West,Electricity,C011,3,0,0.75,68832.48,200,On Time
Lokoja,North Central,Water,C016,1,0,0.5,18223.06,185,On Time
Abeokuta,North West,Roads,C019,4,0,0.8,52465.48,103,On Time
Bwari,South South,Roads,C003,6,2,0.57,100774.7,214,Abandoned
Yenagoa,South East,Water,C002,8,0,0.89,25484.59,170,Delayed
Bwari,North West,Roads,C003,3,0,0.75,44693.21,184,On Time
Jos North,South South,Electricity,C017,5,1,0.67,14771.02,78,Abandoned
Owerri,South South,Water,C018,5,0,0.83,43830.81,187,On Time
Bwari,South South,Water,C007,3,1,0.5,47189.71,136,On Time
Eket,South East,Electricity,C017,5,0,0.83,71817.65,146,Delayed
Lokoja,South East,Health,C004,5,0,0.83,131733.31,96,On Time
Eket,South South,Health,C006,5,1,0.67,46711.98,214,Abandoned
Bwari,South West,Education,C015,6,2,0.57,44933.46,28,Abandoned
Abeokuta,South South,Electricity,C020,4,0,0.8,21912.64,230,On Time
Lokoja,North West,Roads,C010,5,1,0.67,13398.76,148,On Time
Owerri,North West,Water,C020,8,0,0.89,45192.85,246,Abandoned
Bwari,North Central,Roads,C011,3,0,0.75,88259.37,213,Delayed
Jos North,South West,Electricity,C013,3,0,0.75,23057.06,147,On Time
Yenagoa,South West,Roads,C020,2,0,0.67,28834.19,191,On Time
Lokoja,North Central,Roads,C019,2,0,0.67,36954.43,241,Delayed
Lokoja,North West,Roads,C013,4,0,0.8,144397.68,215,Delayed
Lokoja,South West,Electricity,C003,6,1,0.71,34349.28,116,Abandoned
Yenagoa,South East,Electricity,C011,2,0,0.67,15188.47,286,Delayed
Lokoja,North Central,Electricity,C014,3,0,0.75,96653.91,219,On Time
Ilorin,North Central,Roads,C012,4,1,0.6,47372.87,296,On Time
Yenagoa,North East,Education,C011,5,1,0.67,47082.45,159,Delayed
Abeokuta,North East,Education,C005,6,0,0.86,22469.56,275,On Time
Lokoja,North West,Health,C004,4,0,0.8,47083.44,30,On Time
Ilorin,South West,Electricity,C017,5,0,0.83,86286.14,109,On Time
Bwari,South South,Roads,C005,2,0,0.67,12455.3,200,On Time
Sokoto North,North East,Water,C006,6,0,0.86,61288.48,115,On Time
Lokoja,North East,Electricity,C015,0,0,0.0,9086.72,187,Delayed
Bwari,North West,Water,C008,3,0,0.75,51851.3,187,On Time
Abeokuta,North West,Electricity,C015,1,0,0.5,64771.78,183,On Time
Nsukka,North East,Electricity,C010,6,0,0.86,38746.4,234,Delayed
Abeokuta,North West,Education,C019,4,0,0.8,47741.13,69,On Time
Abeokuta,North West,Water,C013,2,0,0.67,20348.63,124,On Time
Ilorin,South East,Electricity,C006,8,0,0.89,30718.09,239,On Time
Nsukka,North East,Electricity,C009,6,0,0.86,18601.55,136,On Time
Bwari,North West,Water,C018,6,1,0.71,48998.53,191,On Time
Jos North,North Central,Electricity,C010,6,0,0.86,12666.98,201,Delayed
Jos North,North West,Education,C015,7,0,0.88,35751.25,184,On Time
Ilorin,South East,Education,C003,7,1,0.75,26993.44,152,On Time
Nsukka,North West,Water,C001,4,1,0.6,14968.12,253,On Time
Owerri,South East,Health,C017,9,2,0.7,76318.44,104,Delayed
Eket,South East,Education,C003,6,1,0.71,34856.44,170,On Time
Eket,North Central,Education,C011,8,1,0.78,18135.39,317,Delayed
Jos North,North East,Roads,C005,4,0,0.8,63636.66,166,On Time
Bwari,South East,Roads,C005,2,0,0.67,66524.3,136,On Time
Abeokuta,South South,Water,C001,6,2,0.57,12120.08,101,Delayed
Jos North,North West,Health,C007,7,0,0.88,38489.23,146,Delayed
Lokoja,South West,Electricity,C020,6,0,0.86,35128.99,279,Delayed
Ilorin,North Central,Water,C010,2,1,0.33,20079.98,211,Delayed
Nsukka,North Central,Roads,C002,4,0,0.8,33910.7,117,On Time
Nsukka,South West,Water,C020,6,1,0.71,79598.07,153,On Time
Abeokuta,North Central,Health,C016,7,0,0.88,32880.64,197,Abandoned
Sokoto North,North Central,Electricity,C017,3,0,0.75,12245.92,148,Delayed
Sokoto North,South West,Education,C005,6,0,0.86,39047.22,100,On Time
Yenagoa,North Central,Water,C020,4,0,0.8,29807.97,160,Delayed
Eket,South South,Education,C014,5,1,0.67,46502.26,151,Abandoned
Lokoja,South South,Health,C012,7,0,0.88,99375.59,184,On Time
Jos North,South South,Electricity,C017,6,1,0.71,46603.39,127,Delayed
Ilorin,North Central,Electricity,C013,4,0,0.8,13665.18,72,Delayed
Abeokuta,South West,Health,C013,4,1,0.6,48916.41,171,Delayed
Eket,South West,Roads,C001,6,0,0.86,14536.73,209,Delayed
Eket,North West,Health,C008,4,0,0.8,12412.01,259,Delayed
Jos North,South West,Electricity,C011,7,0,0.88,65708.13,97,On Time
Lokoja,North West,Health,C018,2,0,0.67,82043.05,113,On Time
Eket,South West,Education,C015,2,0,0.67,21695.02,96,On Time
Abeokuta,North East,Education,C003,3,1,0.5,32952.55,167,Delayed
Abeokuta,North West,Health,C007,6,0,0.86,41416.0,279,On Time
Bwari,North Central,Education,C011,4,0,0.8,43244.54,171,Delayed
Yenagoa,South East,Electricity,C018,7,1,0.75,40902.45,190,On Time
Abeokuta,North Central,Roads,C007,9,1,0.8,18916.63,65,On Time
Yenagoa,North Central,Roads,C011,5,0,0.83,102549.45,160,On Time
Yenagoa,North West,Health,C014,9,0,0.9,11596.33,174,Delayed
Owerri,South East,Water,C011,8,1,0.78,64858.85,207,Abandoned
Lokoja,South West,Water,C016,6,1,0.71,67061.01,147,On Time
Eket,North West,Electricity,C003,5,0,0.83,27221.43,103,On Time
Owerri,South East,Health,C020,7,1,0.75,72369.41,191,Delayed
Lokoja,North West,Electricity,C011,8,1,0.78,41172.76,66,Delayed
Jos North,North West,Health,C010,5,1,0.67,72339.66,270,Delayed
Yenagoa,South South,Water,C014,7,0,0.88,30301.08,130,On Time
Lokoja,North West,Water,C015,2,0,0.67,32433.14,147,On Time
Bwari,South South,Roads,C014,6,0,0.86,18093.53,178,On Time
Yenagoa,North Central,Health,C013,4,0,0.8,20074.61,143,Abandoned
Eket,South West,Electricity,C006,3,0,0.75,31332.4,145,On Time
Bwari,South South,Education,C015,3,1,0.5,9058.56,227,On Time
Bwari,North Central,Education,C008,6,2,0.57,101390.22,228,Abandoned
Eket,South East,Roads,C019,7,0,0.88,61040.64,178,On Time
Bwari,North East,Electricity,C015,4,0,0.8,86403.71,82,On Time
Eket,South East,Roads,C003,5,1,0.67,64935.28,165,On Time
Sokoto North,South South,Education,C012,5,0,0.83,14404.45,243,On Time
Owerri,South West,Roads,C009,4,0,0.8,25233.11,161,On Time
Nsukka,North Central,Health,C006,5,2,0.5,35010.69,183,On Time
Abeokuta,South East,Electricity,C018,7,1,0.75,37222.96,205,On Time
Jos North,North West,Roads,C015,8,2,0.67,29574.45,142,Delayed
Nsukka,North West,Electricity,C016,5,0,0.83,73863.67,133,On Time
Nsukka,North East,Health,C003,4,0,0.8,24086.31,117,On Time
Abeokuta,South West,Education,C015,2,0,0.67,108657.69,139,On Time
